name,mass (g),year,reclat,reclong,color
Grove Mountains 023126,0.59,2003,-72.774200,75.318600,1
Grove Mountains 023583,0.59,2003,-72.984170,75.246670,1
MacAlpine Hills 02483,0.59,2002,-84.216670,160.500000,1
Ramlat as Sahmah 404,0.61,2010,20.220830,56.020130,1
Grove Mountains 021692,0.61,2003,-72.773889,75.347222,1
Grove Mountains 022343,0.61,2003,-72.772778,75.355278,1
Grove Mountains 022900,0.61,2003,-72.775000,75.305833,1
Grove Mountains 022983,0.61,2003,-72.773889,75.322222,1
Grove Mountains 023096,0.61,2003,-72.775833,75.314722,1
Grove Mountains 023124,0.61,2003,-72.774167,75.318056,1
Grove Mountains 023125,0.61,2003,-72.774167,75.318333,1
Grove Mountains 023132,0.61,2003,-72.774167,75.320278,1
Grove Mountains 023787,0.61,2003,-72.984722,75.249722,1
Grove Mountains 023789,0.61,2003,-72.984722,75.249722,1
Grove Mountains 050016,0.63,2006,-73.113333,75.103889,1
Grove Mountains 020594,0.63,2003,-72.983900,75.246400,1
Grove Mountains 020600,0.63,2003,-72.983900,75.246400,1
Grove Mountains 021498,0.63,2003,-72.941390,75.300560,1
Grove Mountains 021827,0.63,2003,-72.777220,75.339170,1
Grove Mountains 022651,0.63,2003,-72.781940,75.286670,1
Grove Mountains 022672,0.63,2003,-72.781390,75.279440,1
Grove Mountains 022864,0.63,2003,-72.773900,75.333300,1
Grove Mountains 020339,0.64,2003,-72.983889,75.246389,1
Grove Mountains 020351,0.64,2003,-72.983889,75.246389,1
Grove Mountains 021829,0.64,2003,-72.778611,75.330278,1
Grove Mountains 022096,0.64,2003,-72.779167,75.310556,1
Grove Mountains 022827,0.64,2003,-72.773610,75.338330,1
Grove Mountains 022865,0.64,2003,-72.773889,75.333333,1
Grove Mountains 022888,0.64,2003,-72.774722,75.312222,1
Grove Mountains 022994,0.64,2003,-72.773611,75.344722,1
Grove Mountains 023047,0.64,2003,-72.773330,75.325000,1
Grove Mountains 023133,0.64,2003,-72.774170,75.320560,1
Grove Mountains 023566,0.64,2003,-72.984170,75.246390,1
Grove Mountains 020349,0.65,2003,-72.983900,75.246400,1
Grove Mountains 020817,0.65,2003,-72.983330,75.249440,1
Grove Mountains 021190,0.65,2003,-72.983610,75.245830,1
Grove Mountains 021220,0.65,2003,-72.983610,75.245830,1
Grove Mountains 021231,0.65,2003,-72.983610,75.245830,1
